"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"452",1,1,320,2,2,2,"1dc67ae",44,1
"462",1,1,301,5,5,2,"1dc67ae",45,1
"472",1,1,359,6,6,2,"1dc67ae",46,1
"482",1,1,292,3,3,2,"1dc67ae",47,1
"492",0,1,337,4,1,2,"1dc67ae",48,1
"502",1,1,314,2,2,2,"1dc67ae",49,1
"513",0,1,330,5,1,2,"1dc67ae",50,1
"522",0,1,303,2,1,2,"1dc67ae",51,1
"532",1,1,345,4,4,2,"1dc67ae",52,1
"542",0,1,309,3,1,2,"1dc67ae",53,1
"552",0,1,300,6,1,2,"1dc67ae",54,1
"562",1,1,285,1,1,2,"1dc67ae",55,1
"572",0,1,286,1,5,2,"1dc67ae",56,1
"582",0,1,498,1,2,2,"1dc67ae",57,1
"592",0,1,295,4,1,2,"1dc67ae",58,1
"602",0,0,236,6,6,2,"1dc67ae",59,1
"613",0,1,372,6,1,2,"1dc67ae",60,1
"622",1,1,358,3,3,2,"1dc67ae",61,1
"632",0,0,319,4,4,2,"1dc67ae",62,1
"642",0,1,262,3,1,2,"1dc67ae",63,1
"652",1,1,144,1,1,2,"1dc67ae",64,1
"662",1,1,317,2,2,2,"1dc67ae",65,1
"672",1,1,306,5,5,2,"1dc67ae",66,1
"682",1,1,298,3,3,2,"1dc67ae",67,1
"692",1,1,411,4,4,2,"1dc67ae",68,1
"702",1,1,249,5,5,2,"1dc67ae",69,1
"712",0,1,287,1,6,2,"1dc67ae",70,1
"722",0,1,279,2,1,2,"1dc67ae",71,1
"732",0,1,298,1,3,2,"1dc67ae",72,1
"742",0,1,291,1,4,2,"1dc67ae",73,1
"752",0,0,328,6,6,2,"1dc67ae",74,1
"762",0,1,359,5,1,2,"1dc67ae",75,1
"772",1,1,311,2,2,2,"1dc67ae",76,1
"782",1,1,309,1,1,2,"1dc67ae",77,1
"214",1,0,900,4,1,1,"1a2832d",1,1
"314",1,0,578,1,3,1,"1a2832d",2,1
"414",0,0,541,6,6,1,"1a2832d",3,1
"514",1,1,356,3,3,1,"1a2832d",4,1
"614",0,0,449,2,2,1,"1a2832d",5,1
"713",0,1,522,1,6,1,"1a2832d",6,1
"83",0,0,406,4,4,1,"1a2832d",7,1
"93",1,1,332,1,1,1,"1a2832d",8,1
"103",0,1,494,5,1,1,"1a2832d",9,1
"113",1,1,376,5,5,1,"1a2832d",10,1
"123",1,0,417,2,1,1,"1a2832d",11,1
"133",1,1,302,1,1,1,"1a2832d",12,1
"143",1,0,356,2,1,1,"1a2832d",13,1
"153",1,1,385,4,4,1,"1a2832d",14,1
"163",0,1,458,1,5,1,"1a2832d",15,1
"173",1,0,246,1,6,1,"1a2832d",16,1
"183",1,1,257,5,5,1,"1a2832d",17,1
"193",0,1,315,3,1,1,"1a2832d",18,1
"203",1,1,322,3,3,1,"1a2832d",19,1
"215",0,1,300,1,4,1,"1a2832d",20,1
"223",1,1,361,6,6,1,"1a2832d",21,1
"233",1,1,489,2,2,1,"1a2832d",22,1
"243",1,1,365,6,6,1,"1a2832d",23,1
"253",1,1,331,2,2,1,"1a2832d",24,1
"263",1,1,243,3,3,1,"1a2832d",25,1
"273",1,1,305,4,4,1,"1a2832d",26,1
"283",0,1,268,3,1,1,"1a2832d",27,1
"293",1,0,321,2,1,1,"1a2832d",28,1
"303",0,1,52,6,1,1,"1a2832d",29,1
"315",1,1,672,1,1,1,"1a2832d",30,1
"323",1,1,350,5,5,1,"1a2832d",31,1
"333",0,1,747,5,1,1,"1a2832d",32,1
"343",0,1,735,1,4,1,"1a2832d",33,1
"353",0,0,1429,3,3,1,"1a2832d",34,1
"363",0,1,592,1,4,1,"1a2832d",35,1
"373",1,1,548,6,6,1,"1a2832d",36,1
"383",1,1,455,5,5,1,"1a2832d",37,1
"393",1,1,303,2,2,1,"1a2832d",38,1
"403",0,1,563,5,1,1,"1a2832d",39,1
"415",0,1,524,3,1,1,"1a2832d",40,1
"423",0,1,99,1,2,1,"1a2832d",41,1
"433",0,1,538,1,6,1,"1a2832d",42,1
"443",0,0,414,1,1,1,"1a2832d",43,1
"453",1,1,652,4,4,1,"1a2832d",44,1
"463",0,0,346,2,2,1,"1a2832d",45,1
"473",0,1,276,4,1,1,"1a2832d",46,1
"483",1,1,289,3,3,1,"1a2832d",47,1
"493",1,1,319,6,6,1,"1a2832d",48,1
"503",1,1,996,5,5,1,"1a2832d",49,1
"515",0,1,17,5,1,1,"1a2832d",50,1
"523",0,1,296,1,6,1,"1a2832d",51,1
"533",1,1,194,1,1,1,"1a2832d",52,1
"543",1,1,304,4,4,1,"1a2832d",53,1
"553",1,0,571,2,1,1,"1a2832d",54,1
"563",0,1,550,1,3,1,"1a2832d",55,1
"573",0,1,1680,2,1,1,"1a2832d",56,1
"583",1,1,1343,1,1,1,"1a2832d",57,1
"593",0,1,481,1,6,1,"1a2832d",58,1
"603",1,1,530,6,6,1,"1a2832d",59,1
"615",1,1,1011,2,2,1,"1a2832d",60,1
"623",1,1,726,5,5,1,"1a2832d",61,1
"633",1,1,564,4,4,1,"1a2832d",62,1
"643",0,1,552,4,1,1,"1a2832d",63,1
"653",0,1,604,1,5,1,"1a2832d",64,1
"663",0,1,595,3,1,1,"1a2832d",65,1
"673",1,1,375,3,3,1,"1a2832d",66,1
"683",0,1,560,1,4,1,"1a2832d",67,1
"693",1,1,481,4,4,1,"1a2832d",68,1
"703",1,1,415,6,6,1,"1a2832d",69,1
"714",1,1,72,3,3,1,"1a2832d",70,1
"723",1,1,328,2,2,1,"1a2832d",71,1
"733",1,1,131,1,1,1,"1a2832d",72,1
"743",0,1,101,1,5,1,"1a2832d",73,1
"753",0,1,153,6,1,1,"1a2832d",74,1
"763",1,1,214,5,5,1,"1a2832d",75,1
"773",0,1,263,1,3,1,"1a2832d",76,1
"783",0,1,337,2,1,1,"1a2832d",77,1
"216",0,1,395,1,5,1,"14abaf1",1,1
"316",1,1,1056,1,1,1,"14abaf1",2,1
"416",0,1,840,2,1,1,"14abaf1",3,1
"516",1,1,427,5,5,1,"14abaf1",4,1
"616",0,1,814,4,1,1,"14abaf1",5,1
"715",1,1,325,2,2,1,"14abaf1",6,1
"84",0,1,1279,3,1,1,"14abaf1",7,1
"94",1,1,347,6,6,1,"14abaf1",8,1
"104",1,1,449,4,4,1,"14abaf1",9,1
"114",1,1,338,3,3,1,"14abaf1",10,1
"124",0,1,335,6,1,1,"14abaf1",11,1
"134",1,1,186,3,3,1,"14abaf1",12,1
"144",0,1,243,1,3,1,"14abaf1",13,1
"154",1,1,225,6,6,1,"14abaf1",14,1
"164",1,1,274,4,4,1,"14abaf1",15,1
"174",1,1,305,5,5,1,"14abaf1",16,1
"184",0,1,177,6,1,1,"14abaf1",17,1
"194",1,1,270,2,2,1,"14abaf1",18,1
"204",0,1,215,1,5,1,"14abaf1",19,1
"217",0,1,281,4,1,1,"14abaf1",20,1
"224",0,1,373,1,2,1,"14abaf1",21,1
"234",1,1,376,1,1,1,"14abaf1",22,1
"244",0,1,461,5,1,1,"14abaf1",23,1
"254",1,1,48,2,2,1,"14abaf1",24,1
"264",1,1,586,6,6,1,"14abaf1",25,1
"274",0,1,149,1,2,1,"14abaf1",26,1
"284",1,1,304,5,5,1,"14abaf1",27,1
"294",1,1,1245,1,1,1,"14abaf1",28,1
"304",0,1,303,4,1,1,"14abaf1",29,1
"317",0,1,316,1,6,1,"14abaf1",30,1
"324",1,1,397,4,4,1,"14abaf1",31,1
"334",1,1,1545,3,3,1,"14abaf1",32,1
"344",0,1,336,3,1,1,"14abaf1",33,1
"354",0,1,733,3,1,1,"14abaf1",34,1
"364",0,1,174,1,6,1,"14abaf1",35,1
"374",1,1,430,1,1,1,"14abaf1",36,1
"384",1,1,344,6,6,1,"14abaf1",37,1
"394",0,1,218,5,1,1,"14abaf1",38,1
"404",1,1,366,4,4,1,"14abaf1",39,1
"417",1,1,107,5,5,1,"14abaf1",40,1
"424",1,1,355,3,3,1,"14abaf1",41,1
"434",1,0,438,2,1,1,"14abaf1",42,1
"444",0,1,395,1,4,1,"14abaf1",43,1
"454",1,1,326,2,2,1,"14abaf1",44,1
"464",0,1,922,2,1,1,"14abaf1",45,1
"474",1,1,291,3,3,1,"14abaf1",46,1
"484",0,1,360,4,1,1,"14abaf1",47,1
"494",1,1,376,6,6,1,"14abaf1",48,1
"504",1,1,207,4,4,1,"14abaf1",49,1
"517",1,1,351,2,2,1,"14abaf1",50,1
"524",0,1,321,3,1,1,"14abaf1",51,1
"534",1,1,330,5,5,1,"14abaf1",52,1
"544",0,1,310,6,1,1,"14abaf1",53,1
"554",1,1,796,1,1,1,"14abaf1",54,1
"564",0,1,669,1,5,1,"14abaf1",55,1
"574",1,1,484,3,3,1,"14abaf1",56,1
"584",1,1,229,5,5,1,"14abaf1",57,1
"594",0,1,147,5,1,1,"14abaf1",58,1
"604",0,1,136,1,3,1,"14abaf1",59,1
"617",0,1,138,6,1,1,"14abaf1",60,1
"624",0,1,222,4,1,1,"14abaf1",61,1
"634",1,1,370,1,1,1,"14abaf1",62,1
"644",1,1,330,4,4,1,"14abaf1",63,1
"654",1,1,290,2,2,1,"14abaf1",64,1
"664",1,1,247,6,6,1,"14abaf1",65,1
"674",0,1,115,2,1,1,"14abaf1",66,1
"684",0,1,341,1,5,1,"14abaf1",67,1
"694",1,1,378,5,5,1,"14abaf1",68,1
"704",0,1,203,1,3,1,"14abaf1",69,1
"716",1,1,342,1,1,1,"14abaf1",70,1
"724",1,1,54,3,3,1,"14abaf1",71,1
"734",1,1,292,4,4,1,"14abaf1",72,1
"744",1,1,61,6,6,1,"14abaf1",73,1
