"","keys","accuracy","rt","Fimg","Simg","feature_index","subID","trialNum","run"
"73",1,1,322,5,5,0,"1563fbc",6,1
"82",1,1,316,6,6,0,"1563fbc",7,1
"92",0,1,270,1,5,0,"1563fbc",8,1
"102",0,1,306,4,1,0,"1563fbc",9,1
"112",1,1,275,5,5,0,"1563fbc",10,1
"122",0,1,254,6,1,0,"1563fbc",11,1
"132",1,1,277,1,1,0,"1563fbc",12,1
"142",1,1,259,6,6,0,"1563fbc",13,1
"152",1,1,413,4,4,0,"1563fbc",14,1
"162",1,1,279,5,5,0,"1563fbc",15,1
"172",1,1,308,6,6,0,"1563fbc",16,1
"182",1,1,250,1,1,0,"1563fbc",17,1
"192",0,1,280,1,6,0,"1563fbc",18,1
"202",1,1,236,4,4,0,"1563fbc",19,1
"213",0,1,271,4,1,0,"1563fbc",20,1
"222",0,1,391,5,1,0,"1563fbc",21,1
"232",0,1,284,5,1,0,"1563fbc",22,1
"242",1,1,287,1,1,0,"1563fbc",23,1
"252",1,1,496,5,5,0,"1563fbc",24,1
"262",0,1,399,1,4,0,"1563fbc",25,1
"272",1,1,471,4,4,0,"1563fbc",26,1
"282",1,1,295,6,6,0,"1563fbc",27,1
"292",0,1,402,6,1,0,"1563fbc",28,1
"302",1,0,299,1,4,0,"1563fbc",29,1
"313",1,1,319,4,4,0,"1563fbc",30,1
"322",1,1,266,1,1,0,"1563fbc",31,1
"332",1,1,367,6,6,0,"1563fbc",32,1
"342",0,1,242,5,1,0,"1563fbc",33,1
"352",0,1,318,1,6,0,"1563fbc",34,1
"362",1,1,297,5,5,0,"1563fbc",35,1
"372",0,1,299,6,1,0,"1563fbc",36,1
"382",0,1,279,1,4,0,"1563fbc",37,1
"392",0,1,368,5,1,0,"1563fbc",38,1
"402",1,1,322,4,4,0,"1563fbc",39,1
"413",1,1,459,5,5,0,"1563fbc",40,1
"422",1,1,311,6,6,0,"1563fbc",41,1
"432",1,1,287,1,1,0,"1563fbc",42,1
"442",1,1,265,6,6,0,"1563fbc",43,1
"452",1,1,282,5,5,0,"1563fbc",44,1
"462",1,1,311,4,4,0,"1563fbc",45,1
"472",0,1,1440,1,5,0,"1563fbc",46,1
"482",0,1,300,1,4,0,"1563fbc",47,1
"492",0,1,265,1,6,0,"1563fbc",48,1
"502",1,1,277,1,1,0,"1563fbc",49,1
"513",1,1,240,5,5,0,"1563fbc",50,1
"522",1,1,282,6,6,0,"1563fbc",51,1
"532",0,1,232,5,1,0,"1563fbc",52,1
"542",0,1,333,4,1,0,"1563fbc",53,1
"552",1,1,352,4,4,0,"1563fbc",54,1
"562",1,1,308,1,1,0,"1563fbc",55,1
"572",0,1,302,6,1,0,"1563fbc",56,1
"582",1,1,260,6,6,0,"1563fbc",57,1
"592",1,1,285,5,5,0,"1563fbc",58,1
"602",0,1,241,1,4,0,"1563fbc",59,1
"613",1,1,260,4,4,0,"1563fbc",60,1
"622",0,1,402,5,1,0,"1563fbc",61,1
"632",1,1,284,1,1,0,"1563fbc",62,1
"642",0,1,238,1,6,0,"1563fbc",63,1
"652",0,1,258,4,1,0,"1563fbc",64,1
"662",1,1,288,1,1,0,"1563fbc",65,1
"672",1,1,317,5,5,0,"1563fbc",66,1
"682",1,1,263,6,6,0,"1563fbc",67,1
"692",0,1,552,1,6,0,"1563fbc",68,1
"702",0,1,706,1,5,0,"1563fbc",69,1
"712",1,1,575,4,4,0,"1563fbc",70,1
"214",1,0,557,5,1,3,"1465c18",1,1
"314",1,1,250,1,1,3,"1465c18",2,1
"414",1,0,252,6,1,3,"1465c18",3,1
"514",1,0,262,4,1,3,"1465c18",4,1
"614",1,1,235,6,6,3,"1465c18",5,1
"74",1,1,224,4,4,3,"1465c18",6,1
"83",1,1,199,5,5,3,"1465c18",7,1
"93",0,0,254,4,4,3,"1465c18",8,1
"103",1,1,117,1,1,3,"1465c18",9,1
"113",1,1,273,5,5,3,"1465c18",10,1
"123",1,0,225,1,4,3,"1465c18",11,1
"133",1,0,460,1,6,3,"1465c18",12,1
"143",0,0,274,6,6,3,"1465c18",13,1
"153",1,0,294,1,5,3,"1465c18",14,1
"163",1,1,403,5,5,3,"1465c18",15,1
"173",1,1,327,1,1,3,"1465c18",16,1
"183",0,1,275,6,1,3,"1465c18",17,1
"193",0,1,246,1,5,3,"1465c18",18,1
"203",1,1,368,6,6,3,"1465c18",19,1
"215",1,1,247,4,4,3,"1465c18",20,1
"223",0,1,1372,4,1,3,"1465c18",21,1
"233",1,1,473,1,1,3,"1465c18",22,1
"243",0,1,335,5,1,3,"1465c18",23,1
"253",0,0,392,6,6,3,"1465c18",24,1
"263",1,0,1585,1,6,3,"1465c18",25,1
"273",-1,-1,0,5,5,3,"1465c18",26,1
"283",1,1,249,4,4,3,"1465c18",27,1
"293",-1,-1,0,4,1,3,"1465c18",28,1
"303",0,0,393,5,5,3,"1465c18",29,1
"315",1,0,331,4,1,3,"1465c18",30,1
"323",0,0,384,1,1,3,"1465c18",31,1
"333",1,1,384,4,4,3,"1465c18",32,1
"343",0,0,267,6,6,3,"1465c18",33,1
"353",1,0,282,5,1,3,"1465c18",34,1
"363",0,1,1601,6,1,3,"1465c18",35,1
"373",0,1,297,5,1,3,"1465c18",36,1
"383",1,1,183,1,1,3,"1465c18",37,1
"393",0,1,502,6,1,3,"1465c18",38,1
"403",1,1,234,5,5,3,"1465c18",39,1
"415",0,1,229,4,1,3,"1465c18",40,1
"423",-1,0,380,6,6,3,"1465c18",41,1
"433",0,0,349,4,4,3,"1465c18",42,1
"443",0,1,302,1,4,3,"1465c18",43,1
"453",1,0,541,5,1,3,"1465c18",44,1
"463",0,0,1136,5,5,3,"1465c18",45,1
"473",1,0,410,1,6,3,"1465c18",46,1
"483",0,0,684,4,4,3,"1465c18",47,1
"493",1,1,384,1,1,3,"1465c18",48,1
"503",0,0,497,6,6,3,"1465c18",49,1
"515",1,1,872,1,1,3,"1465c18",50,1
"523",1,0,985,6,1,3,"1465c18",51,1
"533",0,1,332,1,4,3,"1465c18",52,1
"543",1,1,305,6,6,3,"1465c18",53,1
"553",0,0,126,5,5,3,"1465c18",54,1
"563",1,0,329,1,5,3,"1465c18",55,1
"573",0,0,410,4,4,3,"1465c18",56,1
"583",1,1,291,5,5,3,"1465c18",57,1
"593",0,1,505,5,1,3,"1465c18",58,1
"603",0,1,128,6,1,3,"1465c18",59,1
"615",0,0,276,1,1,3,"1465c18",60,1
"623",1,1,1050,4,4,3,"1465c18",61,1
"633",0,1,1256,4,1,3,"1465c18",62,1
"643",-1,-1,0,6,6,3,"1465c18",63,1
"653",1,1,665,1,1,3,"1465c18",64,1
"663",0,0,548,6,6,3,"1465c18",65,1
"673",0,1,785,1,4,3,"1465c18",66,1
"683",0,1,820,5,1,3,"1465c18",67,1
"693",1,0,1168,6,1,3,"1465c18",68,1
"703",0,0,1804,5,5,3,"1465c18",69,1
"713",1,1,1294,4,4,3,"1465c18",70,1
"216",1,1,174,4,4,3,"1e506ec",1,1
"316",1,0,262,4,1,3,"1e506ec",2,1
"416",1,1,431,6,6,3,"1e506ec",3,1
"516",1,1,48,5,5,3,"1e506ec",4,1
"616",0,1,253,5,1,3,"1e506ec",5,1
"75",1,1,99,1,1,3,"1e506ec",6,1
"84",0,1,206,1,6,3,"1e506ec",7,1
"94",0,1,251,1,4,3,"1e506ec",8,1
"104",0,1,206,1,6,3,"1e506ec",9,1
"114",1,1,227,1,1,3,"1e506ec",10,1
"124",1,1,210,5,5,3,"1e506ec",11,1
"134",1,1,116,4,4,3,"1e506ec",12,1
"144",0,1,290,5,1,3,"1e506ec",13,1
"154",1,1,328,6,6,3,"1e506ec",14,1
"164",0,1,244,1,6,3,"1e506ec",15,1
"174",1,1,173,5,5,3,"1e506ec",16,1
